Date,Ticker,Price,Amount,,,,,,,,,,
2021-12-31,MSFT,300.80,5.16,,,,,,,,,,
2021-12-31,ZIM,56.87,22.738,,,,,,,,,,
2022-01-03,ZIM,59.41,1.727,,,,,,,,,,
2022-01-10,ZIM,55.90,0.535,,,,,,,,,,
2022-01-13,ZIM,64.40,0.554,,,,,,,,,,
2022-01-13,ZIM,64.45,1,,,,,,,,,,
2022-01-14,ZIM,62.80,2.174,,,,,,,,,,
2022-01-14,MSFT,308.04,0.206,,,,,,,,,,
2022-01-18,MSFT,308.98,0.161,,,,,,,,,,
2022-01-24,MSFT,291.59,0.473,,,,,,,,,,
2022-01-24,ZIM,54.22,5,,,,,,,,,,
2022-01-28,ZIM,64.18,1.564,,,,,,,,,,
2022-02-01,ZIM,67.25,1,,,,,,,,,,
2022-02-01,ZIM,67.33,0.719,,,,,,,,,,
2022-02-01,AMD,114.39,1,,,,,,,,,,
2022-02-08,GOOG,2778.18,0.069,,,,,,,,,,
2022-02-09,ZIM,73.35,1,,,,,,,,,,
2022-02-09,GOOG,2817.89,0.048,,,,,,,,,,
2022-02-09,ZIM,73.29,0.717,,,,,,,,,,
2022-02-09,ZIM,73.27,1,,,,,,,,,,
2022-02-10,ZIM,72.55,1,,,,,,,,,,
2022-02-10,GOOG,2784.75,0.01,,,,,,,,,,
2022-02-11,ZIM,73.10,2,,,,,,,,,,
2022-02-11,GOOG,2765.38,0.023,,,,,,,,,,
2022-02-15,ZIM,71.57,0.854,,,,,,,,,,
2022-02-18,ZIM,71.70,20.146,,,,,,,,,,
2022-02-18,ZIM,71.76,1,,,,,,,,,,
2022-02-18,GOOG,2670.93,0.005,,,,,,,,,,
2022-02-23,ZIM,68.47,2.933,,,,,,,,,,
2022-02-24,ZIM,66.87,-3.933,,,,,,,,,,
2022-02-25,ZIM,70.45,2.886,,,,,,,,,,
2022-03-03,ZIM,73.52,0.769,,,,,,,,,,
2022-03-07,ZIM,71.25,27.352,,,,,,,,,,
2022-03-07,ZIM,69.88,4,,,,,,,,,,
2022-03-07,GOOG,2558.16,0.078,,,,,,,,,,
2022-03-11,AMD,105.38,-1,,,,,,,,,,
2022-03-11,ZIM,79.72,1.265,,,,,,,,,,
2022-03-17,AMD,113.98,0.938,,,,,,,,,,
2022-03-18,AMD,112.74,2.662,,,,,,,,,,
2022-03-22,AMD,0.00,0.255,,,,,,,,,,
2022-03-28,AMD,0.00,0.411,,,,,,,,,,
2022-04-06,DIVO,0.00,2,,,,,,,,,,
2022-04-08,AMD,0.00,0.734,,,,,,,,,,
2022-04-10,GOOG,0.00,0.067,,,,,,,,,,
2022-04-10,GOOG,0.00,0.1,,,,,,,,,,
2022-04-14,DIVO,0.00,1.333,,,,,,,,,,
2022-04-19,GOOG,0.00,0.1,,,,,,,,,,
2022-04-19,AMD,0.00,2.502,,,,,,,,,,
2022-04-21,O,0.00,3.329,,,,,,,,,,
2022-04-25,AMD,0.00,1.48,,,,,,,,,,
2022-04-25,DIVO,0.00,0.667,,,,,,,,,,
2022-04-29,O,0.00,0.671,,,,,,,,,,
2022-04-29,AMD,0.00,0.018,,,,,,,,,,
2022-05-05,ZIM,65.48,15,,,,,,,,,,
2022-05-10,ZIM,61.00,-15,,,,,,,,,,
2022-05-10,GOOG,2293.42,0.468,,,,,,,,,,
2022-05-10,GOOG,2294.91,0.032,,,,,,,,,,
2022-05-16,ZIM,66.93,1.341,,,,,,,,,,
2022-05-18,ZIM,61.43,6.515,,,,,,,,,,
2022-05-20,ZIM,64.84,0.898,,,,,,,,,,
2022-05-20,ZIM,64.77,7.6,,,,,,,,,,
2022-05-23,ZIM,68.20,13.921,,,,,,,,,,
2022-05-26,ZIM,69.95,14.725,,,,,,,,,,
2022-05-26,ZIM,69.87,2.028,,,,,,,,,,
2022-05-27,ZIM,66.07,0.671,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
